kpi,cong_thuc,nguon_du_lieu,nguong_canh_bao,gia_tri_hien_tai
"=== DASHBOARD 5 KPI PHANH — GĐ1 VALIDATE ===","","","",""
"","","","",""
"1. CM/ĐƠN (Contribution Margin per đơn)","= Giá bán − Phí cổng − Ads phân bổ/đơn − Refund dự phòng − Thuế","PayOS/SePay export (doanh thu) + FB/TikTok Ads Manager (chi ads) + Sheet 4.2a","< 0đ → DỪNG SCALE ngay","0 (GĐ1 chưa chạy)"
"2. CAC (Customer Acquisition Cost)","= Tổng chi ads trong kỳ ÷ Số đơn trong kỳ","FB Ads Manager: Amount Spent ÷ Purchases; TikTok Ads: Cost ÷ Orders","Ngưỡng cụ thể: [CEO+CFO chốt]; Tín hiệu xấu: CAC > Giá bán × 80%","0 (GĐ1 chưa chạy)"
"3. CR LANDING (Conversion Rate trang bán)","= Số đơn ÷ Tổng lượt truy cập landing page × 100%","Google Analytics / Pixel FB + TikTok trên landing page; hoặc Gamma analytics","< 1% → Cần A/B test landing/offer/giá; Tốt: > 2–3% [benchmark — cần xác minh]","0% (GĐ1 chưa chạy)"
"4. REFUND% (Tỷ lệ hoàn tiền)","= Số đơn refund ÷ Tổng số đơn × 100%","Cổng thanh toán (PayOS/SePay) + ghi nhận tay nếu cần","≥ 5% → Review chất lượng sản phẩm + landing expectation; Mục tiêu GĐ1: < 3%","0% (GĐ1 chưa chạy)"
"5. SỐ LEAD (Email + Zalo)","= Tổng subscriber email mới + Zalo OA followers mới trong kỳ","MailerLite/GetResponse dashboard (subscriber count) + Zalo OA dashboard (followers)","Cần đặt mục tiêu: [CEO chốt]; Tín hiệu xấu: lead/tuần < breakeven ads","0 (GĐ1 chưa chạy)"
"","","","",""
"=== METADATA ===","","","",""
"Kỳ đo","Hàng tuần (mỗi thứ Hai cập nhật số tuần trước)","","",""
"Người cập nhật","[CEO điền tên]","","",""
"Ngày cập nhật lần cuối","[CEO điền]","","",""
"Lưu ý","Gia_tri_hien_tai = 0 vì GĐ1 chưa chạy ads. Cập nhật mỗi tuần khi có số thật.","","",""
