khoan,gia_tri,ghi_chu
"=== CÔNG THỨC CM/ĐƠN (Contribution Margin per đơn) ===","",""
"","",""
"[A] GIÁ BÁN (Revenue)","","Điền giá niêm yết VD: 149000 hoặc 199000"
"Giá bán lẻ (đồng)","[số thật DN — CEO điền]","Giá hiển thị cho khách: 149,000đ / 199,000đ / …"
"","",""
"[B] TRỪ: PHÍ CỔNG THANH TOÁN","","Tính trên giá bán thực thu"
"Tỷ lệ phí cổng (%)","[số thật DN — CEO xác nhận với cổng đang dùng]","PayOS: 0% (hiện tại); SePay: 0% (giao dịch bank transfer); VNPay/MoMo: ~1.5–2.2% [benchmark — cần xác minh]"
"Phí cổng / đơn (đồng)","= [A] × [tỷ lệ phí cổng]","Công thức: Giá bán × % phí"
"","",""
"[C] TRỪ: CHI PHÍ ADS PHÂN BỔ / ĐƠN","","Tính từ tổng chi ads ÷ số đơn trong kỳ"
"Tổng chi ads kỳ (đồng)","[số thật DN — lấy từ FB Ads Manager / TikTok Ads]","Ví dụ: 10,000,000đ/tuần"
"Số đơn trong kỳ","[số thật DN — đếm từ cổng thanh toán]","Ví dụ: 50 đơn/tuần"
"Ads phân bổ / đơn (đồng)","= Tổng chi ads ÷ Số đơn","Đây là CAC (Customer Acquisition Cost) — số quan trọng nhất để đo CM"
"","",""
"[D] TRỪ: DỰ PHÒNG REFUND","","Đặt dự phòng dựa trên tỷ lệ refund thực tế; GĐ1 dùng ước tính"
"Tỷ lệ refund (%)","[số thật DN — hoặc 3% ước tính GĐ1 — cần CEO xác nhận]","Benchmark SP số VN ~2–5% [benchmark — cần xác minh]; GĐ1 chưa có số thật dùng 3% dự phòng"
"Refund dự phòng / đơn (đồng)","= [A] × [tỷ lệ refund]","Công thức: Giá bán × % refund"
"","",""
"[E] TRỪ: THUẾ (MẪU — cần kế toán xác nhận)","","GTGT + TNCN tính trên doanh thu — MẪU, luật VN có thể thay đổi và phụ thuộc hình thức pháp lý DN"
"Thuế GTGT (%)","5% [MẪU — cần kế toán xác nhận]","SP số/nội dung số: ~5% GTGT theo tham khảo (Thông tư thuế VN). Giảm 2% đến 31/12/2026 theo NĐ 174/2025 → thực tế có thể là 3% tạm thời — CẦN KẾ TOÁN XÁC NHẬN"
"Thuế TNCN (%)","2% [MẪU — cần kế toán xác nhận]","Áp dụng nếu bán với tư cách cá nhân/hộ kinh doanh. Công ty TNHH: không áp dụng TNCN trực tiếp — CẦN KẾ TOÁN XÁC NHẬN"
"Tổng thuế / đơn (đồng)","= [A] × ([% GTGT] + [% TNCN])","Công thức gộp: Giá bán × (5% + 2%) = Giá bán × 7%"
"","",""
"=== KẾT QUẢ ===","",""
"CM/ĐƠN (Contribution Margin per đơn)","= [A] − [B phí cổng] − [C ads/đơn] − [D refund] − [E thuế]","ĐÂY LÀ SỐ QUYẾT ĐỊNH: phải DƯƠNG mới được scale ads"
"","",""
"=== VÍ DỤ MINH HOẠ (điền số giả định để kiểm tra công thức) ===","",""
"Giá bán (VD)","149000","đồng"
"Phí cổng PayOS 0% (VD)","0","đồng"
"Ads/đơn (VD — giả định 50 đơn / 5 triệu ads)","100000","đồng = 5,000,000 ÷ 50"
"Refund 3% (VD)","4470","đồng = 149,000 × 3%"
"Thuế 7% (VD — MẪU)","10430","đồng = 149,000 × 7%"
"CM/đơn VÍ DỤ","34100","đồng = 149,000 − 0 − 100,000 − 4,470 − 10,430 | Ví dụ này: DƯƠNG — nhưng mỏng. Nếu ads/đơn tăng lên 130k → CM âm"
"","",""
"=== GHI CHÚ QUAN TRỌNG ===","",""
"Số thật DN","CEO điền vào cột [gia_tri] của các dòng [A][B][C][D][E]",""
"Thuế","MẪU — CẦN KẾ TOÁN VN XÁC NHẬN trước khi dùng làm căn cứ tài chính",""
"Ads/đơn","Lấy từ FB Ads Manager hoặc TikTok Ads: Amount Spent ÷ Purchases trong cùng kỳ đo",""
"Cập nhật","Sheet này cần cập nhật MỖI TUẦN khi có số ads thật trong GĐ1",""
